TDLinx,Chain,Cluster,ACV,Currentpop,CurrentHouseholds,MedianHHincome,MedianYrsSchool,College_4YrsPctPen,College_Less_4YrsPctPen,HighSchoolGradPctPen,HighSchoolNoDiplomaPctPen,_to8YrsElemSchoolPctPen,WhiteCollarPctPen,AllServicePctPen,BlueCollarPctPen,Farm_Forest_FishPctPen,MedianHomeValue,MedianAgeTotalPop,WhitePopPctPen,BlackPopPctPen,Asian_PacificIslanderPopPctPen,PopOtherThanBlack_WhitePctPen,HispanicAncestryPctPen,Address,CityState,Zip,Groc_Count,Groc_Miles,Mass_Count,Mass_Miles,CSD_Volume_Sales,CSD_Volume_per__MM_ACV,CSD_Price,Corp_Pep_Volume_Sales,Corp_Pep_Volume_per__MM_ACV,Corp_Pep_Price,Corp_Coke_Volume_Sales,Corp_Coke_Volume_per__MM_ACV,Corp_Coke_Price,ZIP5,PRIZM_CODE,Prizm_Cluster,C1,C2,C3,S2,S3,S4,T1,T2,T3,T4,U1,U2,U3,lpepvol,lcokvol,lpeppri,lcokpri
457253,WEGMANS,Mid Down Suburbs,35100000,74015,32316,30396,12.5,10.07,21.19,34.62,21.61,12.51,53.21,16.32,29.78,0.7,69757,39,66.01,30.81,1.23,1.62,1.56,2001 WALDEN AVE,CHEEKTOWAGA NY,14225,46,3.2840172925,26,3.0590802055,177084.25,6103.900879,5.110801426,41576.50391,-0.986557742,0.1316918564,32742.37891,-0.651855425,0.7234012928,14225,49,S4,0,0,0,0,0,1,0,0,0,0,0,0,0,7.2526732824,7.0347123583,1.7361045868,1.811734176
994719,TOPS,Inner City,15600000,38144,16328,27314,12.4,9.43,21,33.74,22.85,12.99,49.04,19.37,30.98,0.61,59174,36.5,46.63,50.33,0.87,1.32,1.71,700 THRUWAY PLAZA DR,CHEEKTOWAGA NY,14225,52,3.0360031198,29,3.2195036248,195139.7969,8974.171875,5.049787784,87897.42188,0.5162294727,-0.895022487,18215.10547,-1.469635354,-0.903049186,14225,49,S4,0,0,0,0,0,1,0,0,0,0,0,0,0,8.3020086061,6.7265440915,1.6766862822,1.7303481502
261430,TOPS,Inner City,20800000,44907,18273,43594,14.1,29.94,27.46,24.98,11.4,6.22,67.53,14.38,17.74,0.34,90117,35.8,52.31,41.34,3.3,3.78,2.57,3500 MAIN ST,AMHERST NY,14226,59,3.4029680801,35,3.4933616116,187553.9219,7038.322266,5.052543306,74824.23438,-0.186002386,-0.785485579,18861.2832,-1.817288779,-0.982793504,14226,21,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9400964702,6.5599722205,1.6831963139,1.7261822809
437614,TOPS,Mid Down Suburbs,36400000,56892,22508,49605,14.2,33.04,26.41,27.76,8.67,4.12,73.23,11.36,15,0.42,106295,40.4,89.29,4.2,4.81,5.06,1.45,3980 MAPLE RD,AMHERST NY,14226,31,3.3689304215,23,3.0826456786,275216.0938,6180.783203,5.35493984,119474.6328,-0.256753038,-0.197220012,38311.37109,-1.411542711,-0.874472356,14226,21,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8951672796,6.7518603014,1.7174512834,1.7318367994
953500,WEGMANS,Inner City,40300000,96523,39318,46531,14,30.97,26.96,28.36,9.21,4.5,71.11,11.91,16.6,0.38,99229,39.7,82.67,11.49,3.75,4.08,1.75,675 ALBERTA DR,BUFFALO NY,14226,34,3.375110537,23,2.9989587945,353922.0313,4913.860352,5.369075198,77244.53906,-1.180273486,0.4720840888,90366.875,-0.334631793,0.7798012352,14226,21,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9792694973,7.1326341406,1.755049443,1.814440918
17304,TOPS,Mid Down Suburbs,20800000,28166,10724,53850,13.6,24.55,29.88,31.15,10.04,4.37,64.04,13.39,21.8,0.77,109309,37.2,91.24,3.25,3.78,4.08,1.43,3035 NIAGARA FALLS BLVD,AMHERST NY,14228,14,3.2394113989,12,2.7256830267,226870.2344,7945.1875,5.380796222,105594.3047,0.3199808633,-0.030865812,30138.13867,-0.873657816,-0.679383707,14228,22,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,8.2133292023,6.9600630121,1.7269290735,1.7419407496
524134,WEGMANS,Mid Down Suburbs,32500000,63832,25742,45878,13.3,19.3,28.12,35.02,11.5,6.06,59.06,14.01,26.01,0.91,93331,38.2,94.26,1.88,2.24,2.67,1.19,3135 NIAGARA FALLS BLVD,AMHERST NY,14228,14,3.2672447659,12,2.809188674,195959.5469,5284.592773,5.309173585,50787.24219,-1.017599695,0.420945372,43957.44141,-0.493298642,0.7484491345,14228,22,S3,0,0,0,0,1,0,0,0,0,0,0,0,0,7.2135863549,7.0848543808,1.7522260774,1.8129371747
425944,TOPS,Inner City,15600000,33001,14409,25623,12.7,11.9,20.97,34.11,20.64,12.39,50.67,21.09,27.96,0.28,59432,35,66.44,27.89,0.82,3.06,2.6,1000 PORTAGE RD,NIAGARA FALLS NY,14301,7,2.3813220565,12,2.2958756389,166354.0156,9189.692383,4.986834459,75134.09375,0.5839544923,-0.523104652,14092.66113,-1.620339023,-0.642376819,14301,60,C3,0,0,1,0,0,0,0,0,0,0,0,0,0,8.3308733787,6.6577152281,1.6986200117,1.7438459286
489338,TOPS,Mid Down Suburbs,36400000,55907,22368,42422,12.9,14.89,24.8,37.55,14.9,7.86,55.61,13.87,29.66,0.86,79581,39.7,92.78,3.77,0.89,2.45,1,7200 NIAGARA FALLS BLVD,NIAGARA FALLS NY,14304,8,3.3265897399,13,2.5578227228,308143.5625,7919.965332,5.355961314,151377.2813,0.4351594394,-0.066493086,35139.42188,-1.284639733,-0.577017299,14304,41,C2,0,1,0,0,0,0,0,0,0,0,0,0,0,8.2663233978,6.8050303117,1.7249068064,1.7472019096
961692,WEGMANS,Mid Down Suburbs,6500000,107399,43217,39105,12.9,14.82,24.71,36.33,15.51,8.63,54.05,15.29,29.66,1,80451,37.9,85.91,10.29,0.83,2.37,1.43,1577 MILITARY RD,NIAGARA FALLS NY,14304,7,2.8306763959,13,2.3741587036,181847.8281,5798.419922,5.148910477,50765.42969,-0.877040305,-0.335314296,39670.54297,-0.26916626,0.6217854077,14304,41,C2,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3795175384,7.1517014555,1.7095147477,1.8068388652
860084,TOPS,Small Town Living,10400000,46134,16364,46376,13.4,23.83,27.51,31.95,11.44,5.27,57.89,12.86,26.51,2.74,106864,35.4,95.12,2.07,0.91,1.33,1.48,270 E MAIN ST,AVON NY,14414,0,10,1,0.0216333574,125325.2734,6862.576172,5.424052598,53676.52734,-0.120202641,-0.257592272,34499.1875,1.4079932917,1.5634258003,14414,23,T2,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9801441514,7.5463464984,1.7139893239,1.8513096397
433329,WEGMANS,Small Town Living,44200000,37550,12902,45782,13.2,19.5,27.02,33.08,13.47,6.94,53.47,13.47,30.48,2.58,94612,34.2,90.56,5.07,0.77,1.23,3.14,6660 4TH SECTION RD RT 31,BROCKPORT NY,14420,3,2.1978198426,3,0.3506416988,263826.8438,5584.070801,5.35658201,71042.98438,-0.941520966,1.1028379838,81906.36719,0.9923039841,-0.750628749,14420,23,T2,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3067965598,7.462073017,1.789233234,1.7382626787
